Item name,Category,Description,Data type,Range,Resolution,Units,Service page(s),System(s),See 
i247 - HTCA RTU A PLD state,HTA state,A view state item that monitors the feedback of the PLDs on the DIE PCBs in RTU A of the HTCA.,Integer,See Table P,Integer,None,Area Status,System Communications [Ref: 2],Not available
i248 - HTCA RTU B PLD state,HTB state,A view state item that monitors the feedback of the PLDs on the DIE PCBs in RTU B of the HTCA.,Integer,See Table P,Integer,None,Area Status,System Communications [Ref: 2],Not available
i249 - RHCA RTU A PLD state,RHA state,A view state item that monitors the feedback of the PLDs on the DIE PCBs in RTU A of the RHCA.,Integer,See Table P,Integer,None,Area Status,System Communications [Ref: 2],Not available
i250 - HT overload monitor,HT O/load,This item monitors the HT overload condition from the HT PSU.,Boolean,0  No HT overload,Integer,None,Modulator,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7021 - sheet 1
,,,,1 HT overload,,,,HT and RF [Ref: 7],
i251 - HT over temperature,HT PSU OT,This item monitors the bellows expansion switch (SW2) of the HT charging transformer and of the heat sink fan (SW1).,Boolean,0 Temperature OK,Integer,None,Modulator,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7021 - sheet 1
,,,,1 HT over temperature,,,,HT and RF [Ref: 7],4513 330 7084
i252 - Table top lateral speed demand,Lat. dem,This item monitors the lateral speed demand for the Precise Table top and usually controls i158. The associated enable item is i286.,Analogue,-127 to +127,8 bits,Integer,PSS,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7021 - sheet 1
,,,,,,,,Precise Table,4513 330 7062
i253 - Table top longitudinal speed demand,Long. dem,This item monitors the longitudinal speed demand for the Precise Table top and usually controls i157. The associated enable item is i286.,Analogue,-127 to +127,8 bits,Integer,PSS,Precise Table,Ref 14: 4513 330 7063
i254 - Table top height speed demand,Hgt. dem,This item monitors the height speed demand for the Precise Table top and usually controls i159. The associated enable item is i285.,Analogue,-127 to +127,8 bits,Integer,PSS,Precise Table,Ref 14: 4513 330 7064
i255 - Table top isocentric rotation speed demand,T/T. dem,This item monitors the isocentric rotation speed demand for the Precise Table top and usually controls i156. The associated enable item is i285.,Analogue,-127 to +127,8 bits,Integer,PSS,Precise Table,Ref 14: 4513 330 7065
i256 - Gantry rotation speed demand (HHC2),Gant.2 dem,This item monitors the control voltage from the <GANTRY> thumbwheel on the second handheld controller HHC2 and it usually controls i148 or ASU. The associated enable item is i133.,Integer,-127 to +127,1,None,Only appears on the HHC and PSS service pages for digital accelerators fitted with two handheld controllers,Movements [Ref: 6],Not available
i257 - Precise Table limits,PSS limits,This item is not configured for the Precise Table.,Not available,Not available,Not available,Not available,Not available,Not available,Not available
i258 - Room doors 1 interlock monitor,Rm.doors 1,This item monitors the state of the room doors 1 interlock in the HT1 interlock chain.,Boolean,0 Door closed,Integer,None,Area Status,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7054 - sheet 1
,,,,1 Door closed,,,,,4513 330 7071 - sheet 1
i259 - Room doors 2 interlock monitor,Rm.doors 2,"This item monitors the state of one of the two room door interlock lines. If the item shows a fault, there are a number of possible causes:",Boolean,0 Door open,Integer,None,Area Status,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7054 - sheet 1
,,HT PSU cabinet door open,,1 Door closed,,,,,4513 330 7071 - sheet 1
,,Equipment room doors open,,,,,,,
,,HT interlock supply circuit-breaker tripped,,,,,,,
i260 - Room doors 3 interlock monitor or external inhibit,Rm.doors 3 or external inhibit,"This item monitors the state of the room doors 3 interlock if the option is available, if this option not installed then it is used as External inhibit",Boolean,0 Door open,Integer,None,Area Status,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7071 - sheet 1
,,,,1 Door closed,,,,,
i261 - Movement enable HHC 2 monitor,Mv en.HHC2,This item monitors the state of the movement enable buttons on handheld controller HHC 2 in the treatment room,Boolean,0 HHC 2 movement enable buttons not pressed,Integer,None,Only appears on the HHC and Area Voltages service pages for digital accelerators fitted with two handheld controllers,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7053 - sheet 2
,,,,1 HHC 2 movement enable buttons pressed,,,,Movements [Ref: 6],
i262 - Target check,Target chk,"This item monitors the target check position potentiometer, which is used to interlock the target position",Integer,0 to 4095,1,None,Mechanisms,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7043 - sheet 1
,,,,,,,,Beam Physics [Ref: 8],
i263 - Field lamp control,F/lmp ctrl,This item monitors a switch on the HHC and toggles a relay to control the field defining lamp on the beam limiting device,Boolean,0 Switch not pressed,Integer,None,Contactors,Beam Limiting Devices [Ref: 12],Ref 14: 4513 330 7038 - sheet 1
,,,,1 Switch pressed,,,,,
i264 - Movement enable HHC 1 monitor,Mv en.HHC1,This item monitors the state of the movement enable buttons on handheld controller HHC 1 in the treatment room,Boolean,0 HHC 1 movement enable buttons not pressed,Integer,None,"HHC, Area Voltages ",Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7053 - sheet 2
,,,,1 HHC 1 movement enable buttons pressed,,,,Movements [Ref: 6],
i265 - Monitor Precise Table clutch request,Table clutch,"This item is used to indicate the status of the Patient Table. If it present as an inhibit, check the LEDs in the EIM for details about the error.",Boolean,0 Table OK,Integer,None,PSS,Precise Table,Ref 14: 4513 330 7061 - sheet 1 
,,,,1 Table fault,,,,,4513 330 7063
,,,,,,,,,4513 330 7062
i266 - Precise Table touchguard override monitor,PSS T/G.OR,This item monitors a touchguard override request on the Precise Table.,Boolean,0 No request,Integer,None,PSS,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7061 - sheet 1
,,,,1 Touchguard override request,,,,,4513 330 7053 - sheet 2
i267 - Distance meter lamp control,D/mtr ctrl,This item monitors a switch on the hand held controller and toggles a relay to control the distance meter scale lamp on the waveguide.,Boolean,0 Switch not pressed,Integer,None,Contactors,Beam Limiting Devices [Ref: 12],Ref 14: 4513 330 7038 - sheet 2
,,,,1 Switch pressed,,,,,
i268 - Monitor 1V FSR 0V reference,0V(x1) Ref,This item polls each control area to monitor the 0 V reference with a nominal 1 V full scale range.,Real,0.000 V to 1.024 V See Table Q,0.001 V,V,Area Voltages,System Communications [Ref: 2],Not available
,,"If a limit fault is detected, then the polling stops. See Table Q for part usage during a failure.",,,,,,,
i269 - Monitor 10V FSR 0V reference,0V(x10) Ref,This item polls each control area to monitor the 0 V reference with a nominal 10 V full scale range.,Real,0.000 V to 1.024 V See Table Q,0.01 V,V,Area Voltages,System Communications [Ref: 2],Not available
,,"If a limit fault is detected, then the polling stops. See Table Q for part usage during a failure.",,,,,,,
i270 - Monitor 10V FSR 10V reference,10V Ref,This item polls each control area to monitor the 10 V reference with a nominal 10 V full scale range.,Real,0.000 V to 1.024 V See Table Q,0.01 V,V,Area Voltages,System Communications [Ref: 2],Not available
,,"If a limit fault is detected, then the polling stops. See Table Q for part usage during a failure.",,,,,,,
i271 - Monitor 1V FSR 1V reference,1V Ref,This item polls each control area to monitor the 1 V reference with a nominal 1 V full scale range.,Real,0.000 V to 1.024 V See Table Q,0.001 V,V,Area Voltages,System Communications [Ref: 2],Not available
,,"If a limit fault is detected, then the polling stops. See Table Q for part usage during a failure.",,,,,,,
i272 - Monitor 10V FSR position reference,Posn. Ref,This item polls each control area to monitor the potentiometer position reference with a nominal 10 V full scale range.,Real,0.000 V to 1.024 V See Table Q,0.01 V,V,Area Voltages,System Communications [Ref: 2],Not available
,,"If a limit fault is detected, then the polling stops. See Table Q for part usage during a failure. Not all areas have a potentiometer position reference.",,,,,,,
i273 - Monitor 10V FSR 5V supplies,+5V Ref,This item polls each control area to monitor the 5 V supply with a nominal 10 V full scale range.,Real,0.000 V to 1.024 V See Table Q,0.01 V,V,Area Voltages,System Communications [Ref: 2],Not available
,,"If a limit fault is detected, then the polling stops. See Table Q for part usage during a failure.",,,,,,,
i274 - Service/clinical mode,Service,This item is used to distinguish between the Service Mode and the Clinical Mode.,Boolean,0 Clinical mode,Integer,None,Edit Machine Item Part,Not available,Not available
,,,,1 Service mode,,,,,
i275 - Monitor LT hours,LT hours,Monitors the number of hours that the LT system has been powered with the machine in the Closed state or above.,Integer ,-32767 hr to +32767 hr,1 hr,hr,Sys. Test 1,Not available,Not available
i276 - Monitor HT hours,HT hours,Monitors the number of hours that the HT system has been powered with the machine in the Closed state or above.,Integer,-32767 hr to +32767 hr,1 hr,hr,System Test 1,Not available,Not available
i277 - Control area mains,C.A. Mains,Controls the mains electrical supply to the HTCA and the RHCA.,Boolean,0  Control areas off,Integer,None,Not available,Not available,Ref 14: 4513 330 7051 - sheet 1
,,,,1 Control areas powered,,,,,
i278 - Water control,Water ctrl,This item regulates the water temperature by varying the setting of the water valve according to the temperature information supplied by i223.,Analogue,0 °C to 80 °C,1 °C,°C,Modulator,"Cooling, Gas and Vacuum [Ref: 4]",Ref 14: 4513 330 7044 - sheet 1
i279 - HT present,HT present,This item monitors the presence of HT.,Boolean,Not Available,Integer,None,Edit Machine Item Part,Not available,Not available
i280 - Monitor 10V FSR neg15V supplies,-15V Ref,"This item polls each control area to monitor the -15 V supply with a nominal 10 V full scale range. If a limit fault is detected, then the polling stops. See Table 2.17 for part usage during a failure.",Real,-40.00 V to 11.20 V,0.01 V,V,Area Voltages,Not available,Not available
i281 - Monitor 10V FSR pos15V supplies,+15V Ref,"This item polls each control area to monitor the 15 V supply with a nominal 10 V full scale range. If a limit fault is detected, then the polling stops. See Table 2.17 for part usage during a failure.",Real,0.00 V to 51.20 V See Table Q,0.01 V,V,Area Voltages ,Not available,Not available
i282 - Analyze,Analyze item,Sets the item to be analyzed.,Item number container,"0 to maximum item number, plus NULL",Integer,None,Area Voltages,Not available,Not available
i283 - Mean,Mean,"The mean of the values being analysed, which is defined by i282.",Real,Defined by the item being analyzed,0.01,Defined by the item being analyzed,Area Voltages,Not available,Not available
i284 - i22 _359=,i22 _359=,ASU enable item. The value changes when both the Auto enable button and (-) the ASU Key on the Function Keypad are pressed.,Boolean,0 Not enable,Integer,None,Edit Machine Item Part,Not available,Not available
,,The value of this item is the boolean sum of i22 and i359.,,1 Enable,,,,,
i285 - i134 _297=,i134 _297=,The value of this item is the boolean sum of i134 and i297.,Boolean,0 Not enable,Integer,None,Edit Machine Item Part,Not available,Not available
,,,,1 Enable,,,,,
i286 - i134 _296=,i134 _296=,The value of this item is the boolean sum of i134 and i296.,Boolean,0 Not enable,Integer,None,Edit Machine Item Part,Not available,Not available
,,,,1 Enable,,,,,
i287 - i133 / 286=,i133 / 286=,The value of this item is the boolean sum of i133 and i296.,Boolean,0 Not enable,Integer,None,Edit Machine Item Part,Not available,Ref 14: 4513 330 7062
,,,,1 Enable,,,,,4513 330 7063
i288 - i133 / 284=,i133 / 284=,The value of this item is the boolean sum of i133 and i284.,Boolean,0 Not enable,Integer,None,Edit Machine Item Part,Movements [Ref: 6],Ref 14: 4513 330 7034 - sheet 1
,,,,1 Enable,,,,,4513 330 7047 - sheet 1
i289 - i133 / 285=,i133 / 285= ,The value of this item is the boolean sum of i133 and i285.,Boolean,0 Not enable,Integer,None,Edit Machine Item Part,Not available,Ref 14: 4513 330 7064
,,,,1 Enable,,,,,4513 330 7065
i290 - HT ON logic,HTon logic,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
i291 - i134 _261=,I134 _261=,The value of this item is the boolean sum of i134 and i261.,Boolean,0 Not enable,Integer,None,Edit Machine Item Part,Not available,Not available
,,,,1 Enable,,,,,
i292 - Thyratron timer,Thy. Timer,Not available,Not available,Not available,0.1,Not available,"Modulator, Reason Items ",HT and RF [Ref: 7],Not available
i293 - Magnetron timer,Mag. Timer,Not available,Not available,Not available,0.1,Not available,"Modulator, Reason Items",HT and RF [Ref: 7],Not available
i294 - Auxiliary 1 timer,Aux1 Timer,Not available,Not available,Not available,Not available,Not available,Edit Machine Item Part,Not available,Not available
i295 - Auxiliary 2 timer,Aux2 Timer,Not available,Not available,Not available,Not available,Not available,Edit Machine Item Part,Not available,Not available
i296 - Precise Table lateral/longitudinal select,PSS X/Ysel,Used on the enable for lateral demand (i252) and longitudinal demand (i253).,Not available,Not available,Not available,Not available,PSS,Precise Table,Ref 14: 4513 330 7062
,,,,,,,,,4513 330 7063
i297 - Precise Table height/isocentric rotation select,Hgt.T/T sel,Used on the enable for height demand (i254) and isocentric rotation demand (i255).,Not available,Not available,Not available,Not available,PSS,Precise Table,Ref 14: 4513 330 7064
,,,,,,,,,4513 330 7065
i298 - Variation,Variation,Shows the variation of the selected item as specified in EP3537.,Not available,Not available,0.01,Not available,Area Voltages,Not available,Not available
i299 - Drift,Drift (U/min),Shows the drift of the selected item as specified in EP3537.,Not available,Not available,0.01,Not available,Area Voltages,Not available,Not available
i300 - Minimum value,Minimum value,Shows the minimum value of the selected item as specified in EP3537.,Not available,Not available,0.01,Not available,Area Voltages,Not available,Not available
i301 - Maximum value,Maximum value,Shows the maximum value of the selected item.,Not available,Not available,0.01,Not available,Area Voltages,Not available,Not available
i302 - Analyze low bits,An.Low bits,Shows the bits of the selected item which have been zero as specified in EP3537.,Not available,Not available,0.01,Not available,Area Voltages,Not available,Not available
i303 - Analyze high bits,An.High bits,Shows the bits of the selected item which have been one as specified in EP3537.,Not available,Not available,0.01,Not available,Area Voltages,Not available,Not available
i304 - Bending current set coarse,Bending C,This is the servo control item for the coarse (main) bending magnet current. It shows the readback value from LV PSU control PCB 13C in the low voltage PSU assembly (Area 13).,Analog word,0.0 A to 180.0 A,0.1 A,A,"Beam Control, LV PSU",Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7024 - sheet 1
,,,,,,,,HT and RF [Ref: 7],
,,,,,,,,Beam Physics [Ref: 8],
i305 - Bending current set fine,Bending F,This is the servo control item for the fine (top-up) bending magnet current. It shows the readback value from LV PSU control PCB 13G in the low voltage PSU assembly (Area 13).,Analog word,0.00 A to 15.00 A,0.01 A,A,"Beam Control, LV PSU",Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7024 - sheet 1
